"","tag","rho","user.time"
"105","R",0.6,0.673999999999978
"106","R",0.6,1.23700000000008
"107","R",0.6,0.787000000000035
"108","R",0.6,1.30099999999993
"109","R",0.6,0.846000000000004
"110","R",0.6,1.01499999999987
"111","R",0.6,1.07600000000002
"112","R",0.6,0.634000000000015
"113","R",0.6,1.10199999999986
"114","R",0.6,1.3119999999999
"115","R",0.6,1.19200000000001
"116","R",0.6,1.29100000000017
"117","R",0.6,0.700000000000045
"118","R",0.6,1.36199999999985
"119","R",0.6,0.982999999999947
"120","R",0.6,1.02099999999996
"121","R",0.7,0.58400000000006
"122","R",0.7,0.5
"123","R",0.7,0.467000000000098
"124","R",0.7,0.49799999999982
"125","R",0.7,0.525000000000091
"126","R",0.7,0.407000000000153
"127","R",0.7,0.485999999999876
"128","R",0.7,0.560999999999922
"129","R",0.7,0.413000000000011
"130","R",0.7,0.496999999999844
"131","R",0.7,0.493000000000166
"132","R",0.7,0.427000000000135
"133","R",0.7,0.573000000000093
"134","R",0.7,0.582000000000107
"135","R",0.7,0.368999999999915
"136","R",0.7,0.455000000000155
"137","R",0.7,0.402000000000044
"138","R",0.7,0.470000000000027
"139","R",0.7,0.749000000000024
"140","R",0.7,0.435999999999922
"141","C++v1",0.1,0.375
"142","C++v1",0.1,0.384000000000015
"143","C++v1",0.1,0.384000000000015
"144","C++v1",0.1,0.382000000000062
"145","C++v1",0.1,0.379999999999995
"146","C++v1",0.1,0.381999999999948
"147","C++v1",0.1,0.386999999999944
"148","C++v1",0.1,0.374000000000024
"149","C++v1",0.1,0.376999999999953
"150","C++v1",0.1,0.377000000000066
"151","C++v1",0.1,0.381000000000085
"152","C++v1",0.1,0.379999999999995
"153","C++v1",0.1,0.383000000000038
"154","C++v1",0.1,0.387000000000057
"155","C++v1",0.1,0.381000000000085
"156","C++v1",0.1,0.383000000000038
"157","C++v1",0.1,0.375999999999976
"158","C++v1",0.1,0.379000000000019
"159","C++v1",0.1,0.385999999999967
"160","C++v1",0.1,0.371999999999957
"161","C++v1",0.2,0.731999999999971
"162","C++v1",0.2,0.745999999999981
"163","C++v1",0.2,0.721000000000004
"164","C++v1",0.2,0.742999999999938
"165","C++v1",0.2,0.730000000000018
"166","C++v1",0.2,0.722999999999956
"167","C++v1",0.2,0.742000000000075
"168","C++v1",0.2,0.73599999999999
"169","C++v1",0.2,0.727000000000089
"170","C++v1",0.2,0.733999999999924
"171","C++v1",0.2,0.725999999999999
"172","C++v1",0.2,0.731999999999971
"173","C++v1",0.2,0.736999999999966
"174","C++v1",0.2,0.730999999999995
"175","C++v1",0.2,0.748000000000047
"176","C++v1",0.2,0.7349999999999
"177","C++v1",0.2,0.742999999999938
"178","C++v1",0.2,0.75
"179","C++v1",0.2,0.747000000000071
"180","C++v1",0.2,0.746000000000095
"181","C++v1",0.3,1.10599999999999
"182","C++v1",0.3,1.10299999999984
"183","C++v1",0.3,1.1070000000002
"184","C++v1",0.3,1.09699999999998
"185","C++v1",0.3,1.45600000000013
"186","C++v1",0.3,1.09199999999987
"187","C++v1",0.3,1.09300000000007
"188","C++v1",0.3,1.14300000000003
"189","C++v1",0.3,1.12400000000002
"190","C++v1",0.3,1.12899999999991
"191","C++v1",0.3,1.12100000000009
"192","C++v1",0.3,1.11599999999999
"193","C++v1",0.3,1.13800000000015
"194","C++v1",0.3,1.12599999999998
"195","C++v1",0.3,1.16000000000008
